,RecipeID,Name,Ingredients,Servings Per Recipe,calories,protein,carbohydrates,fat,saturated_fat,cholesterol,fiber,Sodium,Rating,Number of Ratings,URL,Cluster
0,1,Brown Sugar Ham Steak,"1 (8 ounce) bone-in fully cooked ham steak 5 tablespoons butter, cubed 5 tablespoons brown sugar ",1.9193857965451055,1000,42.22648752399232,63.339731285988485,65.25911708253359,38.38771593090211,243.7619961612284,0.0,3163.147792706334,4.7,175,https://www.allrecipes.com/recipe/236432/brown-sugar-ham-steak/,2
1,2,Pork Fried Rice,"1 tablespoon butter 1 (6 ounce) boneless pork loin chop, cut into small pieces 1  green onion, chopped ¼ cup chopped carrot ¼ cup chopped broccoli 1 large egg, beaten 1 cup cold cooked rice ¼ cup frozen peas 1 ½ tablespoons soy sauce ⅛ teaspoon garlic powder ⅛ teaspoon ground ginger ",1.7953321364452424,1000,46.6786355475763,145.42190305206464,23.33931777378815,10.771992818671453,245.9605026929982,5.385996409335727,1463.1956912028725,4.6,319,https://www.allrecipes.com/recipe/230818/pork-fried-rice/,1
2,3,Air Fryer Lobster Tails with Lemon-Garlic Butter,"2 (4 ounce) lobster tails 4 tablespoons butter 1 teaspoon lemon zest 1 clove garlic, grated salt and ground black pepper to taste 1 teaspoon chopped fresh parsley 2 wedges lemon ",1.7761989342806395,1000,62.16696269982238,106.57193605683837,47.95737122557726,26.642984014209592,289.5204262877442,23.090586145648313,799.2895204262877,4.8,46,https://www.allrecipes.com/recipe/276006/air-fryer-lobster-tails-with-lemon-garlic-butter/,1
3,4,French Toast without Milk,2 large eggs 1 tablespoon white or brown sugar 1 teaspoon vanilla extract ½ teaspoon ground cinnamon ¼ teaspoon ground nutmeg 1 tablespoon unsalted butter 4 slices white bread ,3.4602076124567476,1000,34.602076124567475,114.18685121107266,44.98269896193772,20.761245674740486,695.5017301038063,6.920415224913495,1425.60553633218,4.9,17,https://www.allrecipes.com/recipe/280361/french-toast-without-milk/,1
4,5,Simple Chicken Mayo with Parmesan and Bread Crumbs,"2  skinless, boneless chicken breasts 2 ½ tablespoons grated Parmesan cheese 2 tablespoons mayonnaise, or more to taste 2 tablespoons bread crumbs, or more to taste 1 ½ teaspoons herbes de Provence ",3.676470588235294,1000,95.58823529411764,22.058823529411764,58.8235294117647,14.705882352941176,264.70588235294116,0.0,1003.6764705882352,4.7,95,https://www.allrecipes.com/recipe/255305/simple-chicken-mayo-with-parmesan-and-bread-crumbs/,0
5,6,How to Cook Trout,"¼ cup butter 2 (8 ounce) whole trout, butterflied and deboned   salt and freshly ground black pepper to taste 2 tablespoons freshly squeezed lemon juice 2 tablespoons chopped fresh flat-leaf parsley ",2.127659574468085,1000,85.1063829787234,4.25531914893617,70.2127659574468,36.170212765957444,385.1063829787234,0.0,559.5744680851063,4.9,136,https://www.allrecipes.com/recipe/235851/how-to-cook-trout/,2
6,7,Easy Chorizo Street Tacos,"1  chorizo sausage link, casing removed and meat crumbled 2 tablespoons chipotle peppers in adobo sauce 4  corn tortillas 2 tablespoons chopped onion, or to taste 2 tablespoons chopped fresh cilantro, or to taste (Optional) ",3.816793893129771,1000,38.16793893129771,99.23664122137404,49.61832061068702,19.083969465648856,99.23664122137404,15.267175572519085,1778.6259541984734,4.6,41,https://www.allrecipes.com/recipe/257865/easy-chorizo-street-tacos/,1
7,8,Lemon Rosemary Salmon,"1  lemon, thinly sliced 4 sprigs fresh rosemary 2  salmon fillets, bones and skin removed   coarse salt to taste 1 tablespoon olive oil, or as needed ",3.8910505836575875,1000,81.71206225680933,23.346303501945524,70.03891050583657,11.673151750972762,217.8988326848249,11.673151750972762,3957.1984435797663,4.5,454,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,2
8,9,Broiled Scallops,"1 ½ pounds bay scallops 2 tablespoons melted butter, or as needed 2 tablespoons lemon juice 1 tablespoon garlic salt ",3.663003663003663,1000,139.19413919413918,25.64102564102564,32.967032967032964,18.315018315018314,347.98534798534797,0.0,8175.824175824176,4.3,741,https://www.allrecipes.com/recipe/12798/broiled-scallops/,0
9,10,Creamy Cottage Cheese Scrambled Eggs,"1 tablespoon butter 4 large eggs, beaten ¼ cup cottage cheese 1 teaspoon chopped fresh chives, or to taste (Optional)   ground black pepper to taste ",4.464285714285714,1000,71.42857142857143,8.928571428571429,75.89285714285714,35.714285714285715,1750.0,0.0,1316.9642857142858,4.5,163,https://www.allrecipes.com/recipe/241160/creamy-cottage-cheese-scrambled-eggs/,2
10,11,Scrambled Eggs with Chorizo,"  cooking spray ¼ cup Mexican-style chorizo, or more to taste 6 large eggs   salt to taste ",4.310344827586207,1000,86.20689655172414,4.310344827586207,68.96551724137932,21.551724137931036,2418.1034482758623,0.0,1426.7241379310346,4.6,20,https://www.allrecipes.com/recipe/258968/scrambled-eggs-with-chorizo/,2
11,12,Lemon Garlic Chicken,"2 tablespoons butter 3  skinless, boneless chicken breast halves 1 ½ teaspoons salt 1 ½ teaspoons ground black pepper 2 tablespoons garlic powder, divided 1  lemon, juiced ",4.672897196261682,1000,116.82242990654206,23.364485981308412,51.401869158878505,28.037383177570092,397.196261682243,4.672897196261682,5957.943925233645,4.4,176,https://www.allrecipes.com/recipe/240993/lemon-garlic-chicken/,0
12,13,Oh My Arctic Char!,"1 (10 ounce) fillet arctic char, rinsed and patted dry   sea salt to taste 1  lime, zested and juiced ¼ cup olive oil ¼ cup sherry wine 3 sprigs rosemary, leaves stripped 2 cloves garlic ¼ teaspoon cayenne pepper, or to taste   ground black pepper to taste ",1.834862385321101,1000,58.71559633027523,18.34862385321101,71.55963302752293,11.009174311926607,69.72477064220183,3.669724770642202,834.862385321101,4.8,69,https://www.allrecipes.com/recipe/223074/oh-my-arctic-char/,2
